Longitude,Latitude
12.0787369,52.3513951
12.0791171,52.3515102
12.0793226,52.3515867
12.0797435,52.3517563
12.0801552,52.3519229
12.0806626,52.3521225
12.0809076,52.3522264
12.0811099,52.3523168
12.0813361,52.3524247
12.0817171,52.3526315
12.0818205,52.3526922
12.0819723,52.3527813
12.0820186,52.3528084
12.0820642,52.3528349
12.0823939,52.3530263
12.0826318,52.3531609
12.0828908,52.3532955
12.0830509,52.3533761
12.0832047,52.3534453
12.0834629,52.3535513
12.0836925,52.3536387
12.0840156,52.3537554
12.0843251,52.3538613
